ph,turbidity,conductivity,chlorine,temperature,pressure,flow,Risk_Index,Probable_Cause
7.36,0.46,378.23,1.33,17.48,3.24,365.27,15,Normal
7.21,0.64,368.97,1.1,14.61,3.03,329.76,14,Normal
6.95,0.92,299.4,0.64,18.47,3.24,331.21,4,Normal
7.39,0.5,310.27,1.02,12.97,3.29,292.65,8,Normal
5.67,2.24,982.59,0.63,13.53,2.9,264.7,63,Corrosion
6.59,5.06,1269.61,0.0,12.37,2.68,289.33,92,Contamination
7.29,0.8,485.77,0.95,14.94,2.7,299.07,4,Normal
7.11,0.56,317.28,1.16,19.6,2.97,320.09,2,Normal
6.28,2.18,944.82,0.8,16.29,2.49,251.47,77,Corrosion
7.35,0.79,495.93,1.65,12.7,3.26,309.17,5,Normal
6.4,1.85,732.06,0.62,9.63,2.59,204.45,63,Corrosion
7.25,0.57,587.62,1.29,13.27,2.73,324.6,12,Normal
6.8,0.87,517.94,0.86,9.86,3.41,294.27,14,Normal
7.57,0.18,340.06,1.0,15.14,2.86,331.14,0,Normal
7.07,1.13,462.03,0.15,23.42,2.16,14.66,43,Stagnation
8.01,1.37,375.15,0.26,22.23,2.85,30.68,57,Stagnation
6.4,3.9,850.21,1.09,17.94,3.35,192.1,74,Corrosion
7.77,1.73,274.13,0.0,17.92,2.42,37.18,43,Stagnation
7.65,0.51,562.86,0.59,9.89,2.98,319.2,5,Normal
7.19,0.1,391.09,0.61,17.01,3.11,253.01,8,Normal
7.05,0.48,393.73,1.19,12.04,1.35,69.39,44,Pression Faible
6.96,0.48,296.48,0.83,11.41,3.59,301.76,3,Normal
6.44,6.43,1166.3,0.04,20.46,3.13,273.47,89,Contamination
6.54,5.45,509.42,0.0,23.47,3.39,287.55,96,Contamination
7.73,1.36,757.89,0.21,21.74,2.21,13.94,44,Stagnation
7.26,0.35,257.77,0.81,11.76,3.51,344.08,5,Normal
7.2,0.8,407.74,0.74,19.57,3.16,248.14,0,Normal
7.14,0.32,261.72,1.28,20.73,2.58,328.15,15,Normal
7.0,0.4,340.76,0.74,15.15,2.75,313.52,11,Normal
6.96,5.52,927.73,0.02,21.02,3.05,251.12,89,Contamination
7.23,0.65,233.06,1.16,13.01,3.17,261.84,7,Normal
5.56,2.74,1214.43,0.06,14.38,3.09,216.92,82,Contamination
7.18,0.26,334.82,1.01,12.42,2.88,350.31,15,Normal
6.54,7.67,861.09,0.08,23.77,2.16,260.16,97,Contamination
6.23,2.34,974.23,0.62,16.26,2.74,320.07,54,Corrosion
7.6,1.37,408.81,0.05,21.13,2.62,25.79,70,Stagnation
7.29,0.92,487.11,0.9,18.6,2.88,198.09,8,Normal
6.9,0.13,364.85,1.01,20.03,3.1,289.04,13,Normal
7.45,0.14,423.56,1.13,10.56,1.54,86.77,49,Pression Faible
7.08,0.63,627.07,1.05,15.74,2.86,257.51,6,Normal
6.33,1.82,914.31,0.66,17.44,2.93,312.25,62,Corrosion
7.05,0.72,302.12,0.77,16.13,1.43,61.56,40,Pression Faible
7.46,0.77,441.34,1.56,12.68,2.63,211.06,14,Normal
7.65,0.63,394.44,1.08,11.62,3.73,306.46,7,Normal
7.23,0.65,448.1,1.07,12.63,3.14,394.1,0,Normal
7.6,0.82,348.88,0.7,14.62,3.02,354.71,7,Normal
6.69,0.81,384.2,0.87,11.96,2.5,341.16,0,Normal
7.22,0.24,270.49,0.9,20.01,2.92,224.84,1,Normal
7.13,0.45,130.31,0.98,14.31,3.21,392.45,1,Normal
7.9,5.46,868.04,0.18,18.24,2.9,298.79,82,Contamination
7.26,0.47,342.63,0.84,14.9,2.84,264.36,8,Normal
7.54,1.07,600.4,0.0,24.18,2.87,10.0,46,Stagnation
7.1,0.43,259.25,0.77,11.67,3.53,346.78,15,Normal
7.58,0.64,287.09,0.84,16.47,2.63,335.65,15,Normal
6.81,5.25,1413.29,0.07,16.56,3.25,245.95,86,Contamination
7.38,0.62,369.05,1.1,11.25,3.28,290.75,13,Normal
7.04,0.71,329.57,0.58,10.33,3.18,235.98,13,Normal
7.73,0.1,569.65,1.06,14.71,2.84,319.96,1,Normal
7.48,1.75,461.42,0.12,21.27,2.48,33.08,60,Stagnation
6.69,0.23,474.33,1.05,14.45,3.01,317.38,12,Normal
5.78,1.88,939.17,0.51,17.22,2.12,311.75,75,Corrosion
7.38,6.51,1494.81,0.13,22.06,2.35,236.02,87,Contamination
7.01,0.51,451.77,0.78,15.56,2.77,269.42,14,Normal
6.78,0.32,264.83,0.71,18.16,2.72,431.62,5,Normal
7.35,0.54,314.16,1.21,13.27,3.04,428.0,7,Normal
6.92,8.3,989.05,0.05,25.08,2.71,390.62,82,Contamination
7.41,0.39,463.24,1.29,16.87,2.53,263.64,3,Normal
7.13,0.49,462.07,1.05,10.99,3.11,330.53,0,Normal
7.37,1.12,483.39,1.04,14.79,0.7,88.59,49,Pression Faible
6.08,2.72,644.65,0.48,19.16,2.78,290.89,57,Corrosion
7.21,0.51,493.83,0.85,15.29,2.86,278.28,15,Normal
7.11,0.54,352.13,1.38,12.32,2.94,278.01,12,Normal
7.63,0.86,503.18,0.45,15.8,1.47,81.65,25,Pression Faible
7.52,0.4,540.93,1.69,13.91,2.87,372.67,12,Normal
7.67,0.4,357.98,0.92,10.97,2.72,249.79,14,Normal
6.97,0.49,423.42,1.47,12.0,3.3,289.3,15,Normal
7.19,0.63,287.73,1.11,15.5,3.15,314.46,9,Normal
7.94,0.37,346.9,0.81,13.33,2.81,359.45,1,Normal
7.63,0.39,316.76,1.14,13.34,3.19,310.15,1,Normal
5.39,3.74,1259.18,0.62,14.84,2.91,270.07,51,Corrosion
7.4,0.9,382.31,0.76,10.86,2.78,298.34,15,Normal
7.74,0.4,422.38,1.0,18.57,3.76,273.46,5,Normal
7.05,0.71,468.19,1.55,16.75,2.89,329.53,2,Normal
7.89,7.64,1352.18,0.1,22.68,3.31,332.44,82,Contamination
7.15,0.53,520.65,0.75,16.11,2.88,301.44,7,Normal
7.58,0.54,404.64,0.59,17.24,3.19,408.16,7,Normal
7.11,0.54,424.94,1.47,14.71,3.08,330.39,1,Normal
7.57,0.98,469.41,0.21,19.95,2.54,23.0,53,Stagnation
7.98,0.44,394.11,0.14,25.13,2.48,24.45,58,Stagnation
7.76,0.21,180.12,1.13,13.49,2.69,335.42,8,Normal
7.27,0.39,271.97,1.26,16.95,2.97,392.33,10,Normal
6.88,0.19,330.81,0.99,15.73,2.93,317.6,12,Normal
6.82,0.79,391.78,1.34,16.03,3.14,328.49,9,Normal
7.33,0.63,532.92,1.06,17.13,2.97,372.01,2,Normal
7.0,0.86,395.98,0.57,15.38,2.8,342.03,3,Normal
7.0,0.41,211.05,0.86,7.73,2.52,338.02,6,Normal
7.44,0.59,303.3,0.99,14.99,2.65,375.17,4,Normal
7.46,0.73,402.69,0.96,8.87,1.13,66.36,48,Pression Faible
6.9,0.44,579.77,1.19,13.29,3.17,369.97,7,Normal
7.48,0.51,335.31,1.21,16.18,3.27,331.76,5,Normal
7.51,0.39,531.74,1.06,21.23,2.79,386.8,9,Normal
7.58,0.87,401.61,0.07,22.85,2.66,24.26,65,Stagnation
7.49,2.27,622.75,0.14,22.08,2.54,36.14,40,Stagnation
7.09,1.07,283.14,0.14,23.29,2.36,45.74,57,Stagnation
6.83,0.21,422.45,1.31,20.05,2.86,353.93,3,Normal
7.19,0.75,488.37,1.1,10.27,1.64,107.6,24,Pression Faible
7.01,0.58,449.4,1.08,13.35,2.8,298.72,3,Normal
6.4,2.93,825.88,1.03,7.45,3.26,145.62,54,Corrosion
7.09,0.28,270.53,1.35,13.6,3.1,297.65,6,Normal
6.19,2.56,643.4,1.1,14.52,2.18,224.31,56,Corrosion
8.1,1.63,415.13,0.07,21.36,3.12,33.82,67,Stagnation
7.33,0.71,423.88,0.92,14.41,2.98,298.14,15,Normal
7.42,0.51,473.26,0.98,15.24,2.4,345.82,1,Normal
7.3,0.7,110.37,1.63,14.58,3.33,248.0,13,Normal
7.49,3.89,1012.87,0.15,17.24,2.97,343.5,81,Contamination
7.35,0.53,436.5,1.72,14.83,3.06,352.53,4,Normal
7.94,1.79,513.87,0.0,25.27,2.16,33.03,48,Stagnation
6.97,0.49,432.88,1.1,16.27,3.48,322.68,14,Normal
7.13,0.69,518.95,0.63,16.79,3.21,285.12,13,Normal
7.61,0.47,412.56,0.95,15.05,2.67,228.0,3,Normal
7.68,0.33,300.86,0.35,13.08,2.6,382.1,4,Normal
7.5,0.36,625.24,1.29,14.03,2.25,414.55,11,Normal
6.78,0.17,502.26,1.73,19.15,3.17,329.74,4,Normal
7.46,0.65,428.12,1.03,14.81,2.77,285.97,1,Normal
6.69,0.48,301.14,0.67,15.54,3.42,345.92,1,Normal
5.74,4.02,1482.23,0.0,17.1,3.07,251.58,86,Contamination
7.54,0.53,389.86,0.13,18.81,2.63,29.8,61,Stagnation
7.37,0.54,536.41,1.04,13.71,3.04,327.16,13,Normal
7.21,0.81,329.8,0.7,10.79,1.72,55.12,43,Pression Faible
6.99,0.36,489.49,0.91,18.74,2.8,313.95,7,Normal
6.33,10.29,843.72,0.07,20.54,3.02,290.74,85,Contamination
6.9,6.09,1155.9,0.1,26.84,2.73,231.51,80,Contamination
7.17,1.02,319.63,1.49,20.03,2.83,328.45,10,Normal
6.4,2.2,859.28,0.63,12.96,2.54,176.56,63,Corrosion
7.03,4.46,1270.14,0.0,19.32,3.15,200.31,87,Contamination
7.31,0.75,279.04,1.5,16.26,2.79,297.21,3,Normal
7.37,0.52,453.88,0.72,15.51,2.58,294.44,1,Normal
6.28,4.53,1570.83,0.1,20.44,2.57,284.18,87,Contamination
7.56,0.53,631.93,1.12,15.58,2.91,306.68,14,Normal
7.15,0.64,495.67,0.76,11.01,2.45,325.4,7,Normal
6.87,0.1,438.86,1.75,14.98,3.25,304.09,6,Normal
7.17,0.68,370.97,1.08,15.97,2.8,349.6,8,Normal
6.86,4.49,1360.95,0.01,18.11,2.9,354.29,88,Contamination
7.34,0.49,481.78,1.42,16.67,3.0,234.41,12,Normal
7.07,1.05,389.05,0.08,22.11,2.66,29.3,66,Stagnation
7.35,0.51,202.45,0.72,14.57,2.64,330.0,0,Normal
7.66,0.74,378.66,1.45,15.45,2.9,269.33,8,Normal
7.11,0.42,417.04,1.05,15.01,3.13,359.53,8,Normal
7.48,0.2,144.61,1.28,10.9,2.93,241.49,13,Normal
6.66,0.61,475.92,0.83,7.23,2.84,319.59,10,Normal
6.76,0.54,398.47,1.17,15.36,2.71,359.83,3,Normal
7.15,0.49,306.67,0.87,12.35,2.95,385.59,6,Normal
6.79,0.18,547.12,0.94,12.99,3.31,269.72,13,Normal
7.75,0.64,351.21,1.65,13.18,3.22,314.96,6,Normal
7.59,0.81,403.2,0.77,16.38,2.8,400.67,2,Normal
7.24,0.69,418.47,0.5,12.09,1.56,66.86,49,Pression Faible
6.89,0.61,518.57,1.22,17.99,2.77,228.91,10,Normal
8.1,1.04,424.92,0.23,23.11,2.64,51.65,43,Stagnation
5.74,3.24,911.4,0.88,20.59,3.0,282.3,59,Corrosion
7.52,0.43,316.08,0.69,9.1,3.62,244.84,13,Normal
7.13,0.44,430.74,1.24,17.58,2.83,291.64,9,Normal
7.28,0.45,560.73,1.15,17.2,3.2,358.67,6,Normal
7.25,0.24,439.97,0.8,13.41,3.18,361.91,12,Normal
7.51,1.35,620.22,0.12,27.2,2.67,12.39,68,Stagnation
7.43,0.58,528.98,1.2,14.58,2.63,289.55,9,Normal
6.94,0.38,458.86,1.5,16.18,2.64,322.23,0,Normal
7.56,0.38,386.6,1.0,12.65,3.19,293.95,6,Normal
7.33,0.32,356.25,1.22,13.88,3.52,280.02,10,Normal
7.27,0.69,258.16,0.47,10.42,3.38,272.41,14,Normal
8.52,0.92,468.46,0.25,26.01,3.12,42.08,56,Stagnation
7.51,0.62,477.84,0.83,12.55,3.0,291.49,5,Normal
7.32,1.55,545.53,0.11,24.96,2.16,28.06,49,Stagnation
6.98,0.13,391.73,0.96,19.54,3.19,248.79,10,Normal
7.76,0.74,458.21,0.93,12.12,2.89,354.44,7,Normal
8.25,1.97,401.12,0.0,22.28,1.97,33.23,47,Stagnation
6.88,5.07,721.59,0.08,15.87,2.55,156.39,84,Contamination
7.19,0.85,566.13,0.86,13.19,3.14,250.08,7,Normal
7.29,1.03,522.69,0.87,14.39,0.94,63.46,39,Pression Faible
6.82,6.73,1474.08,0.01,23.97,2.82,298.93,82,Contamination
6.98,0.1,488.4,1.22,14.16,3.02,325.8,6,Normal
5.37,2.08,1058.85,0.42,16.88,2.26,277.99,62,Corrosion
7.19,0.18,516.47,0.78,12.57,3.06,357.43,7,Normal
6.9,0.51,442.88,1.21,15.53,2.89,258.62,0,Normal
7.07,3.86,323.59,0.07,21.62,2.19,249.51,83,Contamination
6.25,4.15,904.16,0.58,15.45,3.35,211.24,57,Corrosion
6.96,0.4,304.67,1.04,19.87,3.1,287.38,14,Normal
7.11,0.19,488.31,0.98,14.46,3.96,314.94,7,Normal
6.97,0.67,514.84,0.93,10.69,1.48,66.64,23,Pression Faible
7.76,0.72,355.27,1.38,15.2,3.26,324.24,14,Normal
7.16,0.88,553.0,0.07,21.19,2.21,34.24,57,Stagnation
7.82,0.29,402.42,1.42,14.76,3.14,246.88,14,Normal
7.67,1.11,548.57,0.22,27.18,2.67,33.26,63,Stagnation
7.16,5.29,1301.55,0.04,18.67,3.3,249.67,93,Contamination
7.91,8.63,1164.58,0.0,15.57,3.29,298.86,97,Contamination
6.9,0.4,484.06,1.16,14.28,2.89,280.41,5,Normal
5.63,3.79,835.54,1.17,20.56,3.2,224.1,65,Corrosion
7.32,0.5,309.63,1.1,11.46,3.36,276.77,7,Normal
7.16,6.57,1122.33,0.08,16.1,3.16,232.7,88,Contamination
6.05,4.05,699.93,0.6,17.54,2.87,271.04,66,Corrosion
7.35,0.63,510.97,1.12,14.28,3.2,394.99,7,Normal
7.16,0.31,510.71,0.96,8.48,3.25,273.23,2,Normal
5.96,2.77,938.1,1.01,14.69,3.01,234.43,57,Corrosion
7.42,0.62,306.46,1.33,13.39,3.24,318.36,10,Normal
8.47,5.55,1095.2,0.05,16.79,3.14,219.18,82,Contamination
6.88,0.29,495.03,1.51,14.69,2.95,303.5,7,Normal
7.55,0.31,423.84,1.29,16.5,3.06,350.05,4,Normal
4.92,3.04,769.18,0.25,17.53,3.35,241.75,52,Corrosion
7.49,0.82,531.49,1.49,17.23,3.02,219.9,10,Normal
7.13,0.33,617.09,0.95,15.37,3.17,302.18,13,Normal
7.71,0.38,419.46,0.78,11.04,2.82,298.15,13,Normal
7.07,0.36,259.37,0.98,10.49,3.23,304.12,0,Normal
5.83,5.38,974.35,0.07,23.36,2.34,305.75,98,Contamination
7.15,0.63,421.32,0.77,14.04,2.76,353.8,0,Normal
7.21,1.37,393.93,0.69,10.46,0.66,48.32,29,Pression Faible
6.11,2.91,583.76,1.07,14.55,2.86,346.73,77,Corrosion
7.72,5.46,932.64,0.0,15.12,2.84,250.64,93,Contamination
7.16,0.52,377.51,0.8,15.51,3.13,245.48,7,Normal
7.62,0.48,401.88,1.21,15.7,3.29,314.36,8,Normal
7.02,0.57,285.63,1.03,14.9,2.94,293.57,0,Normal
6.64,0.39,409.28,1.05,11.92,3.38,256.69,12,Normal
6.39,2.84,770.75,1.33,12.42,3.17,310.03,76,Corrosion
7.0,0.78,375.0,1.09,15.78,2.96,340.54,4,Normal
7.44,0.28,530.43,0.4,18.1,1.54,58.18,37,Pression Faible
7.08,0.28,378.51,0.91,17.34,3.39,369.78,12,Normal
7.03,0.46,231.66,0.76,17.89,3.48,238.28,0,Normal
7.02,0.49,428.02,0.76,16.27,2.86,299.28,13,Normal
7.36,0.5,356.36,0.97,14.73,2.89,287.06,14,Normal
7.68,0.61,370.45,1.21,14.0,3.35,318.48,8,Normal
7.17,0.59,242.91,0.66,11.42,3.04,386.63,6,Normal
7.87,0.63,450.08,0.46,13.37,2.76,268.96,10,Normal
5.93,2.12,504.14,1.02,12.78,2.9,374.44,62,Corrosion
6.92,0.1,371.4,1.33,20.88,2.63,324.83,13,Normal
7.06,0.48,664.43,0.55,15.76,3.14,354.29,2,Normal
7.23,0.56,360.84,1.08,13.97,3.19,281.52,1,Normal
7.31,0.79,512.61,0.88,9.68,1.58,61.89,31,Pression Faible
7.0,0.38,537.44,0.36,24.41,3.32,311.16,2,Normal
5.98,2.73,1004.22,0.99,17.67,2.84,238.16,70,Corrosion
7.15,0.46,513.38,1.18,6.18,3.2,309.74,0,Normal
7.19,0.68,512.41,1.18,12.68,1.32,60.57,26,Pression Faible
5.9,4.75,1458.72,0.1,20.05,3.12,325.81,99,Contamination
7.01,0.59,480.04,1.23,18.57,3.21,317.57,4,Normal
7.52,0.49,311.81,0.95,12.77,2.8,292.77,3,Normal
6.96,0.44,210.64,1.06,15.0,2.75,332.96,6,Normal
7.48,0.18,323.73,0.77,12.18,3.25,290.31,8,Normal
5.89,0.9,1027.08,0.43,16.18,2.91,331.64,55,Corrosion
6.98,0.0,468.38,0.28,24.48,2.56,25.08,70,Stagnation
6.32,1.72,995.27,0.95,19.18,3.9,273.54,53,Corrosion
5.8,2.48,546.18,0.59,14.77,2.59,259.14,55,Corrosion
6.95,1.14,400.02,0.9,14.02,1.25,96.5,23,Pression Faible
6.94,0.37,369.63,0.6,12.54,2.86,343.72,9,Normal
7.28,0.54,485.09,0.96,16.17,2.97,313.27,12,Normal
7.03,0.1,386.57,1.43,17.78,3.29,361.81,6,Normal
7.23,0.54,338.23,0.91,16.85,3.36,293.03,7,Normal
7.06,0.5,460.12,0.57,8.11,2.83,238.96,9,Normal
6.59,5.7,1064.03,0.12,19.31,2.99,331.11,99,Contamination
6.09,8.08,1177.27,0.08,13.71,2.43,340.89,98,Contamination
6.15,1.78,726.07,1.14,12.43,3.46,195.96,61,Corrosion
7.39,0.43,460.32,0.84,14.51,3.01,249.89,11,Normal
7.42,0.4,377.14,0.7,7.31,2.94,420.63,10,Normal
7.44,0.5,373.71,1.01,16.64,2.65,355.72,13,Normal
7.57,7.44,1331.54,0.05,20.69,3.08,282.3,83,Contamination
7.03,0.52,554.9,0.63,10.6,3.05,302.54,11,Normal
7.57,1.32,427.68,0.25,18.8,2.25,28.97,66,Stagnation
6.71,0.46,566.15,1.01,15.69,2.62,269.18,4,Normal
7.09,0.44,528.16,1.17,11.67,3.07,324.91,8,Normal
7.96,1.99,348.49,0.02,19.48,2.43,34.66,69,Stagnation
7.5,0.48,368.02,1.05,12.49,3.63,219.62,15,Normal
7.26,0.9,400.68,0.94,13.93,2.95,368.64,8,Normal
6.54,0.81,257.6,0.92,13.71,3.18,220.09,7,Normal
7.37,10.05,791.05,0.06,15.35,3.03,300.96,82,Contamination
7.01,0.6,580.43,0.94,17.16,2.61,252.18,14,Normal
7.34,0.8,435.56,0.91,15.0,2.62,330.23,14,Normal
7.46,0.41,353.0,1.08,13.69,2.98,404.99,12,Normal
7.13,0.43,335.25,1.22,14.46,2.81,366.07,15,Normal
8.14,4.8,640.04,0.1,15.26,3.14,201.49,85,Contamination
7.47,0.26,473.08,1.0,12.14,2.88,334.32,11,Normal
6.04,2.97,1295.29,0.33,20.85,2.84,196.07,60,Corrosion
6.8,0.46,492.17,0.96,19.53,2.56,299.4,8,Normal
6.82,0.57,488.69,0.87,7.19,3.06,321.84,6,Normal
7.32,0.75,292.89,1.2,18.58,2.47,315.98,13,Normal
7.05,0.48,434.77,0.85,12.97,3.01,245.64,7,Normal
7.07,1.54,335.12,0.17,22.93,1.98,23.22,60,Stagnation
6.4,1.72,807.12,0.94,18.35,2.7,214.15,64,Corrosion
6.4,3.89,1095.77,0.83,13.58,2.47,281.35,52,Corrosion
7.33,0.78,465.05,0.55,18.16,2.7,280.8,12,Normal
7.6,2.2,760.99,0.16,21.63,2.66,38.88,49,Stagnation
7.37,2.1,473.01,0.15,23.33,2.63,38.39,51,Stagnation
7.01,0.39,289.98,1.13,17.34,3.14,383.72,11,Normal
7.2,0.63,290.83,0.88,17.09,3.25,285.3,10,Normal
7.18,0.2,364.3,1.27,16.73,3.15,302.49,14,Normal
7.2,0.37,469.88,1.13,16.48,2.84,192.33,8,Normal
7.53,0.4,313.72,1.21,13.82,3.32,330.85,6,Normal
7.41,0.23,521.19,1.08,13.89,3.04,211.19,5,Normal
7.32,0.29,264.73,0.54,18.34,2.81,376.69,15,Normal
7.04,0.16,288.35,1.37,14.53,2.84,308.0,9,Normal
7.35,1.14,544.85,0.79,11.02,1.08,85.21,46,Pression Faible
6.91,0.31,434.38,0.99,15.1,2.77,288.48,7,Normal
6.92,0.68,503.52,0.45,12.21,2.55,267.5,9,Normal
7.17,0.21,307.81,0.7,15.62,3.02,263.91,4,Normal
7.25,0.39,372.83,1.5,19.02,2.61,341.49,1,Normal
7.44,0.27,481.88,1.46,11.63,2.72,350.88,4,Normal
7.61,1.48,484.06,0.14,19.35,2.81,41.7,64,Stagnation
7.13,0.49,246.89,1.15,16.72,2.98,356.22,0,Normal
7.1,0.61,298.03,0.99,14.48,3.07,281.52,15,Normal
7.16,0.67,356.32,0.52,20.25,3.41,235.39,10,Normal
7.41,0.4,426.35,1.09,14.3,2.76,265.47,1,Normal
6.93,0.33,393.28,0.79,17.05,3.45,271.0,15,Normal
7.27,0.6,447.2,1.02,17.23,3.14,238.12,2,Normal
7.46,0.68,323.67,1.01,17.05,2.94,353.65,2,Normal
7.91,0.34,261.9,1.09,17.16,2.93,372.66,1,Normal
6.8,0.64,339.41,1.52,20.98,2.77,272.52,9,Normal
7.46,0.42,395.46,1.01,9.24,3.0,265.51,7,Normal
7.05,0.79,274.35,1.24,14.16,2.92,339.52,13,Normal
7.64,1.49,546.82,0.07,20.78,2.17,21.75,65,Stagnation
8.68,1.82,314.89,0.0,22.96,2.66,35.49,64,Stagnation
7.12,0.47,432.79,1.03,8.34,2.93,257.43,14,Normal
7.25,1.7,436.75,0.81,17.77,1.34,88.4,29,Pression Faible
7.49,10.11,860.73,0.07,14.29,3.07,254.07,93,Contamination
7.07,0.44,497.58,1.28,11.26,3.02,264.52,1,Normal
7.0,1.09,419.15,0.34,22.87,2.09,24.35,63,Stagnation
7.51,0.92,241.4,0.44,20.61,3.12,256.59,6,Normal
7.71,0.0,450.34,0.13,23.85,2.2,30.86,48,Stagnation
7.13,1.33,360.47,0.06,20.01,2.7,38.58,45,Stagnation
7.13,0.51,255.14,0.91,14.85,3.79,244.4,2,Normal
7.64,0.7,428.06,1.53,16.12,3.12,297.34,13,Normal
7.57,0.72,337.43,0.6,14.39,2.76,296.82,15,Normal
7.57,0.41,395.72,1.02,17.55,2.33,269.66,7,Normal
7.26,0.74,350.81,0.44,16.86,2.81,240.52,9,Normal
5.75,2.35,779.05,0.14,18.69,3.31,289.09,64,Corrosion
6.86,0.46,399.35,1.18,17.01,2.78,304.1,7,Normal
7.34,1.24,470.45,1.14,15.25,1.62,88.2,45,Pression Faible
5.66,3.62,1039.58,0.67,14.56,2.92,277.79,68,Corrosion
7.58,1.36,620.0,0.21,22.38,2.78,19.67,69,Stagnation
7.32,0.86,378.2,0.75,13.04,2.67,260.76,3,Normal
7.09,0.22,401.56,1.27,12.28,3.46,325.54,4,Normal
7.51,0.6,485.45,0.57,17.67,1.25,91.07,46,Pression Faible
6.85,0.32,459.72,0.72,16.39,2.59,342.41,1,Normal
6.83,0.61,462.56,0.79,16.75,3.08,273.06,9,Normal
6.9,0.11,434.97,0.53,15.29,2.92,333.96,9,Normal
7.11,0.43,473.19,1.1,15.95,3.14,223.22,14,Normal
7.8,1.51,348.33,0.08,21.92,2.46,33.34,62,Stagnation
7.63,0.72,268.78,1.19,18.99,3.12,354.55,8,Normal
7.8,0.7,424.93,1.31,15.43,3.01,282.43,15,Normal
7.67,0.34,553.24,1.15,10.8,3.11,195.0,1,Normal
7.5,7.77,1022.29,0.06,25.82,2.75,247.05,90,Contamination
8.09,2.18,450.37,0.2,24.68,2.28,25.15,40,Stagnation
7.57,0.84,456.29,0.74,20.96,2.84,283.24,0,Normal
7.3,1.27,485.4,1.02,16.39,1.21,91.16,41,Pression Faible
4.98,5.41,1272.4,0.0,19.55,2.84,387.77,98,Contamination
7.67,0.41,384.92,0.98,13.65,3.06,262.09,5,Normal
6.86,0.62,462.95,0.76,17.69,2.81,312.66,14,Normal
7.45,0.79,445.47,0.75,14.41,1.14,65.07,25,Pression Faible
7.15,0.34,350.88,0.81,14.23,1.13,78.76,33,Pression Faible
7.69,1.64,385.02,0.0,19.92,2.35,26.48,55,Stagnation
6.97,0.41,354.39,0.95,16.79,1.03,71.74,35,Pression Faible
